waterbody,year,mon,gear,species,len,weight,sex,age,age_strux,lennote
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,145,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,163,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,157,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,163,NA,F,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,147,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,155,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,160,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,155,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,145,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,165,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Yellow Perch,142,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Yellow Perch,163,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Yellow Perch,107,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Yellow Perch,140,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Yellow Perch,84,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Yellow Perch,132,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Yellow Perch,173,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Yellow Perch,112,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Yellow Perch,71,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Yellow Perch,127,NA,,NA,,Observed length
